Location,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
Minneapolis,3.3,2.5,43.0,9.0,0.08,0.067,15.0,15.0,1.0,23.0,10.2,70.0,27.0,0.11
Nashville,1.6,1.2,,,0.08,0.068,,,,21.0,10.1,29.0,17.0,
New York City,3.1,1.9,62.0,22.0,0.12,0.078,22.0,10.0,2.0,31.0,10.9,43.0,19.0,0.11
Oklahoma City,1.0,0.8,46.0,9.0,0.09,0.073,3.0,2.0,0.0,21.0,9.1,62.0,20.0,
Omaha,2.4,1.9,,,0.08,0.066,56.0,19.0,2.0,24.0,11.0,91.0,32.0,0.13
Philadelphia,2.4,1.8,52.0,17.0,0.1,0.073,15.0,10.0,2.0,37.0,11.6,64.0,31.0,0.0
Phoenix,4.2,2.7,63.0,25.0,0.1,0.079,9.0,4.0,1.0,42.0,15.7,510.0,96.0,0.04
Portland,2.2,1.8,33.0,10.0,0.08,0.059,5.0,3.0,1.0,43.0,9.1,43.0,13.0,0.0
Sacramento,2.8,2.4,50.0,10.0,0.11,0.082,3.0,2.0,1.0,49.0,12.6,59.0,23.0,0.0
San Antonio,,,35.0,5.0,0.09,0.083,15.0,3.0,1.0,26.0,8.3,71.0,23.0,0.02
San Diego,24.1,6.7,75.0,19.0,0.09,0.078,1.0,1.0,0.0,25.0,10.6,49.0,25.0,0.01
San Francisco,3.6,2.6,60.0,17.0,0.1,0.069,17.0,5.0,1.0,32.0,12.8,42.0,17.0,
San Jose,2.7,2.1,52.0,15.0,0.09,0.071,10.0,2.0,0.0,35.0,12.4,53.0,21.0,0.12
San Juan,9.5,2.7,,,0.04,0.034,89.0,14.0,2.0,13.0,6.9,78.0,30.0,
Seattle,1.5,1.3,,,0.08,0.059,,,,33.0,12.2,28.0,11.0,0.0
Tucson,1.8,1.1,44.0,11.0,0.08,0.074,7.0,1.0,0.0,16.0,6.8,363.0,40.0,0.0
Tulsa,1.6,1.0,38.0,8.0,0.1,0.072,48.0,19.0,2.0,21.0,9.3,67.0,19.0,0.01
Virginia Beach,2.0,1.1,41.0,8.0,0.08,0.068,52.0,10.0,1.0,18.0,7.7,21.0,12.0,
District of Columbia,4.9,3.1,64.0,13.0,0.09,0.072,10.0,4.0,1.0,26.0,11.6,40.0,17.0,0.0
Wichita,1.9,1.3,40.0,9.0,0.08,0.071,6.0,5.0,1.0,23.0,9.5,84.0,23.0,
National Means,3.5093023255813955,1.9534883720930223,50.361111111111114,13.131578947368421,0.09066666666666669,0.07237777777777778,30.19047619047619,8.976190476190476,1.4761904761904763,26.727272727272727,10.45909090909091,82.34883720930233,25.348837209302324,0.03181818181818182
